LOCATION_TITLE, STREET, CITY, ZIP, DATE
Allegheny Valley,590 Pittsburgh Mills Blvd, Tarentum, PA 15084,June 10
Johnstown,500 Galleria Dr, Johnstown, PA 15904,June 11
Charleroi,1 Chamber Plaza, Charleroi, PA 15022,June 12
Homewood,7430 Tioga St, Pittsburgh, PA 15208,June 14
North Side,50 Montgomery Place, Pittsburgh, PA 15212,June 14
Armstrong,13374 US Route 422, Kittanning, PA 16201,June 16
West End,2940 Sheraden Blvd, Pittsburgh, PA 15204,June 17
Aliquippa,2720 Brodhead Rd, Aliquippa, PA 15001,June 20
McKeesport,1960 Eden Park Blvd, McKeesport, PA 15132,June 21
Butler,313 N. Pike Rd., Sarver, PA 16055,June 24
Butler,205 S. Chestnut St Butler, Butler, PA 16001,June 24
South Side,49 S. 12th Street, Pittsburgh, PA 15203,June 25
Clairton,435 Fremont St, Clairton, PA 15025,June 26
Beaver Falls,1601 8th Ave, Beaver Falls, PA 15010,June 28
Washington,2151 North Main St, Washington, PA 15301,July 1
Armstrong,13374 US Route 422, Kittanning, PA 16201,July 7
Johnstown,500 Galleria Dr, Johnstown, PA 15904,July 9
Monroeville,3000 Gateway Campus Blvd., Monroeville, PA 15146,July 9
Homewood,7430 Tioga St, Pittsburgh, PA 15208,July 12
North Side,50 Montgomery Place, Pittsburgh, PA 15212,July 12
Carrick,1529 Brownsville Rd, Pittsburgh, PA 15210,July 12
West End,2924 Chartiers Avenue, Pittsburgh, PA 15204,July 15
Butler,313 N. Pike Rd., Sarver, PA 16055,July 15
McKeesport,1960 Eden Park Blvd, McKeesport, PA 15132,July 19
South Side,49 S. 12th Street, Pittsburgh, PA 15203,July 23
Clairton,435 Fremont St., Clairton, PA 15025,July 24
Aliquippa,2720 Brodhead Rd, Aliquippa, PA 15001,July 25
Beaver Falls,1601 8th Ave, Beaver Falls, PA 15010,July 26
Wilkinsburg,225 Penn Ave. (Intersection of Penn Ave. and N. Trenton), Pittsburgh, PA 15221,July 26
Allegheny Valley,167 Pittsburgh Mills Circle, Tarentum, PA 15084,August 8
DISTRIBUTION CENTER, 1 North Linden Street, Duquesne, PA 15110, NA
